longitude,latitude,start_time,end_time
-73.99981689453125,40.73835372924805,2015-05-07:19,2015-05-07:20
-73.994355,40.728225,2009-07-17:20,2009-07-17:21
-74.005043,40.74077,2009-08-24:21,2009-08-24:22
-73.976124,40.790844,2009-06-26:08,2009-06-26:09
-73.925023,40.744085,2014-08-28:17,2014-08-28:18
-73.96901899999999,40.75591,2011-02-12:02,2011-02-12:03
0.0,0.0,2012-12-11:13,2012-12-11:14
-73.975187,40.745767,2012-02-17:09,2012-02-17:10
-74.001065,40.741787,2012-03-29:19,2012-03-29:20
-73.9743881225586,40.74695205688477,2015-05-22:17,2015-05-22:18
0.0,0.0,2011-05-23:22,2011-05-23:23
-73.966378,40.80444,2011-05-17:14,2011-05-17:15
-73.953352,40.767382,2011-06-25:11,2011-06-25:12
-73.97336999999999,40.755193,2010-04-06:22,2010-04-06:23
-73.990718,40.75192,2012-02-21:09,2012-02-21:10
-73.988908,40.756982,2011-09-01:09,2011-09-01:10
-74.00566500000001,40.741138,2011-03-19:23,2011-03-20:00
-73.96253204345702,40.767189025878906,2015-03-25:08,2015-03-25:09
-73.992075,40.719633,2009-08-08:00,2009-08-08:01
-73.98002199999999,40.74599,2014-02-18:14,2014-02-18:15
-73.98918914794923,40.72914123535156,2015-03-03:23,2015-03-04:00
-74.010798,40.726085,2009-11-26:02,2009-11-26:03
-73.9943,40.739512,2010-09-04:16,2010-09-04:17
-73.972987,40.76404,2010-05-12:22,2010-05-12:23
-73.986059,40.757159,2009-02-12:17,2009-02-12:18
-73.957802,40.776371999999995,2014-01-21:06,2014-01-21:07
-73.993909,40.741551,2012-11-21:17,2012-11-21:18
-73.97778000000001,40.763656,2009-05-06:20,2009-05-06:21
-73.971075,40.787833,2011-12-24:02,2011-12-24:03
-74.004184,40.712975,2009-02-28:15,2009-02-28:16
-73.982085,40.771387,2013-02-11:19,2013-02-11:20
-73.991186,40.741393,2013-09-10:20,2013-09-10:21
-73.98869,40.751273,2009-06-05:05,2009-06-05:06
-74.010863,40.710813,2011-02-19:16,2011-02-19:17
-73.96869699999999,40.754998,2011-08-31:19,2011-08-31:20
